external_gene_name,logFC_rna,padj_rna,CpG_Beta_diff,logFC_meth,padj_meth,ensembl_gene_id,entrezgene_id,hgnc_symbol,logFC_protein,padj_protein,RG1_All_filtered,RG2_Changes_filtered,RG3_Translation_filtered,RG4_Detection_filtered,Methylation,RNA,Protein,RG1_All,RG2_Changes,RG3_Translation
MT-ND5,-3.20229117605575,1.5778384463561202e-201,,,,ENSG00000198786,4540.0,MT-ND5,-0.839095645874793,5.07983443754765e-47,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
PYGL,2.35179421099839,7.21443091103924e-201,-0.0863080421585158,-0.527164976665004,3.4086673536551e-06,ENSG00000100504,5836.0,PYGL,1.64233913700108,2.91478900513825e-79,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
CAV2,2.44354359704727,9.978648906525372e-201,-0.2948665193941647,-2.43812971847699,1.68702223214993e-62,ENSG00000105971,858.0,CAV2,1.1749843072561,6.47594667487586e-50,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
LDHA,2.16147022688014,1.75573356667422e-200,-0.1801503739293407,-1.17097396094136,4.06458828592696e-38,ENSG00000134333,3939.0,LDHA,1.2414306286843,2.4587851202455e-83,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
PLXNB1,-1.99609471522058,2.09101576600247e-200,0.2168910457543514,1.33932968649492,6.77116563474165e-53,ENSG00000164050,5364.0,PLXNB1,-0.651005012585401,3.25658443828238e-64,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS,MDS,Hypermethylation,RNA DOWN,Protein DOWN,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS
SIGLEC10,3.50429043394381,3.03513560772176e-200,-0.0989453815976741,-0.930846814525076,3.37921488626026e-23,ENSG00000142512,89790.0,SIGLEC10,-0.0019845535179204,0.984796927171684,Methylation No change + RNA UP + Protein not-significant,TPDE_TMDS,None,TPDE_TMDS,Methylation No change,RNA UP,Protein not-significant,Methylation No change + RNA UP + Protein not-significant,TPDE_TMDS,None
C6orf136,-1.08810113270165,3.59944711179453e-199,-0.0905711978362886,-1.38441138712766,2.7633103846046892e-101,ENSG00000204564,221545.0,C6orf136,-0.548104490749296,8.13048518668803e-29,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
VASH1,2.13602996380522,5.1866273955384106e-198,-0.1750363523411565,-1.09335797227428,2.79510398998959e-44,ENSG00000071246,22846.0,VASH1,0.745735131247752,1.98125064438837e-32,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
RASSF2,2.63550846733125,1.30989865166598e-197,-0.373098574853422,-2.53754215704355,1.7033780084855302e-54,ENSG00000101265,9770.0,RASSF2,0.902315058132565,1.96236411041584e-54,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
DISC1,1.85480164472437,2.16942777106764e-197,-0.1315782810990913,-1.37288930525581,1.67515167190402e-44,ENSG00000162946,27185.0,DISC1,0.347502467175593,1.29303278987564e-20,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
CPNE6,-5.10857011184103,5.78000175889397e-197,-0.1452728160168003,-1.51045685613336,6.90965695161584e-62,ENSG00000100884,9362.0,CPNE6,-1.19926466363005,1.0882292448949401e-23,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Hypomethylation,RNA DOWN,Protein DOWN,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS
ANGPT2,3.09759725979439,8.75264067583176e-197,0.0997560338379395,0.605982564983607,1.93977265156644e-13,ENSG00000091879,285.0,ANGPT2,1.35974006987152,5.27822975536399e-61,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
IKBIP,2.25602700582163,9.91653670915317e-196,-0.1024457742427129,-1.48258762105699,1.88955250930337e-60,ENSG00000166130,121457.0,IKBIP,1.38028684130881,3.25768838301103e-81,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
USP19,-0.895036162161951,4.42897218948397e-195,-0.0768424759941253,-0.907250518768928,1.25786171642314e-31,ENSG00000172046,10869.0,USP19,-0.253755728155341,3.29829070633881e-44,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
SHBG,-3.16874877970957,1.24655876596294e-192,0.125278064488672,0.971236065031187,2.57089065769179e-27,ENSG00000129214,6462.0,SHBG,0.328843370490233,1.79528939186529e-05,Hypermethylation + RNA DOWN + Protein significant-positive,MDS_TMDE,TMDE,MDS_TMDE,Hypermethylation,RNA DOWN,Protein significant-positive,Hypermethylation + RNA DOWN + Protein significant-positive,MDS_TMDE,TMDE
CASP1,2.13907119481117,7.3158694817436e-192,-0.2486804027132463,-3.50891962149022,1.5373789164091e-96,ENSG00000137752,834.0,CASP1,1.0308804774127,1.5265020711450498e-70,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
CXCR4,2.87861028847682,2.22763090277205e-189,-0.2134180664714122,-1.71237499086308,6.03489370882882e-49,ENSG00000121966,7852.0,CXCR4,0.803124453029426,1.58133416706067e-37,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
DHRS11,-1.894168,3.739337e-189,0.1182239439250422,0.715442071097753,1.82619161252135e-18,ENSG00000278535,79154.0,DHRS11,-0.821507187625379,4.37590327675774e-62,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS,MDS,Hypermethylation,RNA DOWN,Protein DOWN,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS
CDCA7L,2.91843863808187,7.68848716736871e-189,-0.1183528970876092,-2.10326061386633,8.83265722389446e-108,ENSG00000164649,55536.0,CDCA7L,0.128395361386821,0.0064646089525854,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
PCCB,-1.81579442332788,1.2414014629602e-188,-0.0449920484309248,-0.782964338641594,1.0233591146775e-23,ENSG00000114054,5096.0,PCCB,-1.33392707299532,1.7979514665398e-70,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
SLC25A5,-1.53244631672639,1.5707431499646302e-188,-0.037852980514157,-0.6874846631733,0.0111555204862366,ENSG00000005022,292.0,SLC25A5,-1.01389022054417,6.52233232165014e-62,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
STC2,3.49410255109534,1.32847722593782e-187,,,,ENSG00000113739,8614.0,STC2,0.45169501138679,8.27043399425492e-16,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
CACNA2D2,-2.23471944586976,1.69990311877082e-187,,,,ENSG00000007402,9254.0,CACNA2D2,-0.0418343341371689,0.605478903898798,Methylation No change + RNA DOWN + Protein not-significant,TPDS_TMDE,None,TPDS_TMDE,Methylation No change,RNA DOWN,Protein not-significant,Methylation No change + RNA DOWN + Protein not-significant,TPDS_TMDE,None
ADGRV1,-4.11564473700659,1.74234720064944e-187,-0.2550273190125773,-2.17548848544966,3.09358941417366e-55,ENSG00000164199,84059.0,ADGRV1,-0.122209154241623,0.287406785294922,Hypomethylation + RNA DOWN + Protein not-significant,TPDS_TMDE,None,TPDS_TMDE,Hypomethylation,RNA DOWN,Protein not-significant,Hypomethylation + RNA DOWN + Protein not-significant,TPDS_TMDE,None
COLGALT1,1.80805548893816,1.78830218097753e-187,-0.0560126208955833,-1.18622026142308,1.41885982816781e-92,ENSG00000130309,79709.0,COLGALT1,1.05326077476282,5.64656965832219e-85,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
TYROBP,2.7416455407195,6.79287032355359e-187,-0.1532865059582372,-0.988523966157262,2.8573983677686e-46,ENSG00000011600,7305.0,TYROBP,1.85373695792881,6.40235338006529e-73,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
LPCAT1,2.87957795733655,9.853052845834601e-187,-0.3347324229272976,-2.31520199373893,3.64271654322919e-78,ENSG00000153395,79888.0,LPCAT1,1.38694371677207,3.51839929612234e-70,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
PDHA1,-1.21777401976359,2.67251467462059e-186,-0.1294653835831294,-0.921973671926776,1.0359273562604802e-15,ENSG00000131828,5160.0,PDHA1,-1.1183214335371,5.72152308909098e-80,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Hypomethylation,RNA DOWN,Protein DOWN,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS
AXL,2.15294617475062,2.67251467462059e-186,0.0514146043436227,0.454802454740984,2.50216618566587e-06,ENSG00000167601,558.0,AXL,0.253872429907188,7.0299965958662e-11,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
C6orf223,4.03730834289617,6.33559330951132e-184,-0.1443925391041779,-0.996753579037378,4.2460436706292686e-40,ENSG00000181577,221416.0,C6orf223,-0.218149095600859,0.0021824445966354,Hypomethylation + RNA UP + Protein significant-negative,MDE_TMDS,TMDS,MDE_TMDS,Hypomethylation,RNA UP,Protein significant-negative,Hypomethylation + RNA UP + Protein significant-negative,MDE_TMDS,TMDS
PHKA2,1.91211911248771,1.36273827344984e-183,-0.0608184016265743,-1.52906618571976,2.75452939057908e-08,ENSG00000044446,5256.0,PHKA2,0.866383674937078,5.22299353259738e-65,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
ACSF2,-4.17393443547918,1.04636672133862e-182,-0.0946998001865242,-1.40112261084799,1.60279134818048e-53,ENSG00000167107,80221.0,ACSF2,-1.88348596661011,1.24824291379283e-67,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
CD300LF,3.40628823500147,2.2093937346236e-182,-0.3249537856757241,-2.1985576388896,2.12055182606845e-47,ENSG00000186074,146722.0,CD300LF,0.175246526746355,0.0012205223269015,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
SCAP,-1.11618086991035,2.2699727534911702e-182,0.0961278785467804,1.05786232940201,8.168415382657141e-35,ENSG00000114650,22937.0,SCAP,-0.0026903811578577,0.946430339456787,Methylation No change + RNA DOWN + Protein not-significant,TPDS_TMDE,None,TPDS_TMDE,Methylation No change,RNA DOWN,Protein not-significant,Methylation No change + RNA DOWN + Protein not-significant,TPDS_TMDE,None
ALAD,-2.03421725118955,2.42495485179003e-182,,,,ENSG00000148218,210.0,ALAD,-0.641576135822459,3.3050070166907495e-30,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
DCXR,-3.04518609032381,3.72292054658797e-182,,,,ENSG00000169738,51181.0,DCXR,-1.53556690781274,1.87304801172246e-60,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
NINL,-1.72936108189781,7.5296869751566e-182,0.120244611518839,1.01656575868751,6.68413214251127e-24,ENSG00000101004,22981.0,NINL,-0.698914404890328,8.77894929242781e-38,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS,MDS,Hypermethylation,RNA DOWN,Protein DOWN,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS
DTL,3.53312239852109,2.30669991320797e-181,,,,ENSG00000143476,51514.0,DTL,0.0287865194412493,0.631592349141351,Methylation No change + RNA UP + Protein not-significant,TPDE_TMDS,None,TPDE_TMDS,Methylation No change,RNA UP,Protein not-significant,Methylation No change + RNA UP + Protein not-significant,TPDE_TMDS,None
DNASE1,-1.8891591319021,1.20686664374092e-180,,,,ENSG00000213918,1773.0,DNASE1,-0.171526107547817,8.70815725777258e-06,Methylation No change + RNA DOWN + Protein significant-negative,TPDS_TMDE,TPDS,TPDS,Methylation No change,RNA DOWN,Protein significant-negative,Methylation No change + RNA DOWN + Protein significant-negative,TPDS_TMDE,TPDS
LETM1,-1.36734399487023,1.38194106658844e-180,,,,ENSG00000168924,3954.0,LETM1,-0.837244289318687,2.2685064274136295e-48,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
CYP17A1,-5.52325815000498,5.9896566360773415e-180,-0.0739693192831075,-0.704627218081783,1.89878365025738e-07,ENSG00000148795,1586.0,CYP17A1,-1.48878573406573,4.64980477065532e-47,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
YEATS2,1.47556517766854,8.04004674300915e-180,,,,ENSG00000163872,55689.0,YEATS2,0.105950406328658,2.94350930471906e-07,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
NUDT9,-1.17611936859888,1.14965315787372e-179,,,,ENSG00000170502,53343.0,NUDT9,-0.665877117343881,3.09798108763507e-78,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
SPHK2,-1.8576816731512,1.58012138826543e-179,,,,ENSG00000063176,56848.0,SPHK2,-0.726301859043509,1.08662503779521e-45,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
PROZ,-5.08940181617895,2.76768210212383e-179,0.335496174503663,3.24511473675027,5.7141821901972696e-70,ENSG00000126231,8858.0,PROZ,0.105882518278799,0.130838319706019,Hypermethylation + RNA DOWN + Protein not-significant,MDS_TMDE,None,MDS_TMDE,Hypermethylation,RNA DOWN,Protein not-significant,Hypermethylation + RNA DOWN + Protein not-significant,MDS_TMDE,None
NUSAP1,2.38008363325969,6.003448035266509e-179,-0.0321426436093343,-0.789329376569901,7.6112393822401e-55,ENSG00000137804,51203.0,NUSAP1,0.402912749610452,2.97164710641445e-16,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
UQCRC1,-1.2977982850478,9.92982101790396e-179,0.0870042487523494,0.712842810575524,5.10293271723077e-17,ENSG00000010256,7384.0,UQCRC1,-1.06955123336929,3.30513525074789e-69,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
CP,5.71954538175552,2.40573622036751e-178,-0.5169988498464908,-3.52729045473334,7.32810631590272e-135,ENSG00000047457,1356.0,CP,0.421960717920613,1.73813876074835e-09,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
DIAPH2,1.63308321502351,3.5221134963729995e-178,-0.062474210767038,-0.762278947306879,5.2858772463510005e-19,ENSG00000147202,1730.0,DIAPH2,0.734038763306152,5.9221865053372006e-61,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
RAB42,5.5399794419557,5.51706771064219e-178,-0.2527435380928647,-1.92794657569894,2.4059992228707492e-57,ENSG00000188060,115273.0,RAB42,1.55284663550282,3.7122491173486e-53,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
IL10RB,1.34889,6.916699999999998e-178,0.0542864448913806,0.711857436163519,1.31602090342142e-17,ENSG00000243646,3588.0,IL10RB,0.39438242597077,9.650514595841391e-09,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
NNMT,4.46289228505186,7.622380011664598e-178,-0.3846513662378247,-2.61886430938788,2.6081610793619797e-78,ENSG00000166741,4837.0,NNMT,2.26264794798035,1.64516284902693e-75,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
SLC37A2,2.7360715167116,4.57868396877326e-177,,,,ENSG00000134955,219855.0,SLC37A2,0.470844414479204,5.784813099015e-27,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
SCARB1,3.68495595000912,4.75118191986896e-177,-0.3519014430131365,-2.24106353821225,9.71126738596111e-82,ENSG00000073060,949.0,SCARB1,1.54270967158097,3.05288788835464e-59,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
PRDX4,1.86652673415995,2.21250489534058e-176,-0.1304493267602045,-2.83918431461369,6.76940303019635e-29,ENSG00000123131,10549.0,PRDX4,0.891382443965,8.124782652375271e-65,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
SLC26A6,-2.27046447133541,2.67848972613793e-175,,,,ENSG00000225697,65010.0,SLC26A6,-1.17028410763514,1.96619421515251e-48,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
EHBP1L1,1.65009961269833,8.5632604801169e-175,,,,ENSG00000173442,254102.0,EHBP1L1,0.741371049971035,1.6757608390061e-72,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
GMFG,1.85795017826672,7.70831431558934e-174,-0.3273837724066434,-2.19149163991434,2.0208501357730799e-56,ENSG00000130755,9535.0,GMFG,0.733008544728487,1.2741519717668e-52,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
LY86,2.70711807674196,8.621973822519149e-174,-0.2838399188459182,-1.83901502152965,8.32743783557714e-54,ENSG00000112799,9450.0,LY86,0.665048775063526,1.31995736053794e-16,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
C1QA,3.1865153700078,9.06810325247572e-174,-0.1591926163564881,-0.959131303563813,8.28036203228506e-34,ENSG00000173372,712.0,C1QA,0.482986839046617,2.4947044198221703e-15,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
PREX1,1.69988270881738,1.1451410853493302e-173,0.064255562585891,0.923461879816406,6.934517486280871e-17,ENSG00000124126,57580.0,PREX1,0.735311481481482,1.25395871742106e-60,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
LAPTM5,2.83885535393274,3.48287765483893e-173,-0.3642948309178641,-2.50336235661457,5.4603345571106e-50,ENSG00000162511,7805.0,LAPTM5,0.587555631159698,1.98548908429847e-09,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
ACAD8,-1.20786147243552,1.28305053797021e-172,-0.0943066452696396,-1.20856473048039,8.545857179981369e-42,ENSG00000151498,27034.0,ACAD8,-1.31632957205135,1.75809597523312e-72,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
